1. slug=aher-forte-ks-sammit-agro | name=Агер Форте, КС | cat=Гербіцид | pkg=20 л
45. slug=parad-ks-sammit-agro | name=Парад, КС | cat=Фунгіцид | pkg=1 л
46. slug=pledzh-50-zp-sammit-agro | name=Пледж 50, ЗП | cat=Гербіцид | pkg=10кг(5*200гр)
47. slug=ranman-top-ks-sammit-agro | name=Ранман ТОП, КС | cat=Фунгіцид | pkg=1 л
48. slug=roseit-rk-sammit-agro | name=Росейт, РК | cat=Гербіцид | pkg=20 л
49. slug=roubek-ke-sammit-agro | name=РоуБэк, КЕ | cat=Гербіцид | pkg=3 л
50. slug=sakano-rk-sammit-agro | name=Сакано, РК | cat=Гербіцид | pkg=20 л
51. slug=samson-super-6-od-md-sammit-agro | name=Самсон Супер 6 OD, МД | cat=Гербіцид | pkg=5 л
52. slug=sanmait-zp-sammit-agro | name=Санмайт, ЗП | cat=Інсектицид | pkg=500гр
53. slug=sendai-rk-sammit-agro | name=Сендай, РК | cat=Гербіцид | pkg=5 л
54. slug=silker-ke-sammit-agro | name=Сілкер, КЕ | cat=Інсектицид | pkg=5 л
55. slug=sintmezo-se-sammit-agro | name=Сінтмезо, СЕ | cat=Гербіцид | pkg=10 л
56. slug=skaba-ke-sammit-agro | name=Скаба, КЕ | cat=Гербіцид | pkg=5 л
57. slug=takashi-rk-sammit-agro | name=Такаші, РК | cat=Фунгіцид | pkg=10 л
58. slug=teppeki-vh-sammit-agro | name=Теппекі, ВГ | cat=Інсектицид | pkg=0,14кг(ящ3,36кг)
59. slug=topsyn-m-500-ks-sammit-agro | name=Топсин М 500, КС | cat=Фунгіцид | pkg=1 л
60. slug=topsin-m-500-ks-sammit-agro | name=Топсiн-М 500, КС | cat=Фунгіцид | pkg=5 л
61. slug=tropika-ke-sammit-agro | name=Тропіка, КЕ | cat=Гербіцид | pkg=20 л
62. slug=ultima-250-sammit-agro | name=Ультіма 250 | cat=Фунгіцид | pkg=5 л
63. slug=khansi-ks-sammit-agro | name=Хансі, КС | cat=Фунгіцид | pkg=5 л
64. slug=khikaru-vh-sammit-agro | name=Хікару, ВГ | cat=Гербіцид | pkg=0.5 кг
65. slug=yutaka-se-sammit-agro | name=Ютака СЕ | cat=Фунгіцид | pkg=10 л
66. slug=yamato-se-sammit-agro | name=Ямато СЕ | cat=Фунгіцид | pkg=5 л
